期貨,多單,選擇權,台指期,賣權,買權,空單
拉高,,控制,收高,,,
上升,,攻克,站,,,
走跌,,有利,謹慎,,,
溫和,,言,反彈,,,
大,,說,回落,,,
顯示,,避,大跌,,,
跌,,加重,持續,,,
做,,躁進,修正,,,
續創,,擁有,展望,,,
造成,,非,開,,,
湧現,,反彈,賣超,,,
勉強,,,翻紅,,,
結算,,,制裁,,,
見真章,,,摩,,,
熱,,,,,,
判斷,,,,,,
轉跌為,,,,,,
收跌,,,,,,
拋售,,,,,,
主辦,,,,,,
兼營,,,,,,
拿下,,,,,,
朝向,,,,,,
擁有,,,,,,
作為,,,,,,
看好,,,,,,
代表,,,,,,
提醒,,,,,,
回吐,,,,,,
同步,,,,,,
搭配,,,,,,
賣超,,,,,,
投資,,,,,,
錯綜,,,,,,
重,,,,,,
新,,,,,,
留倉,,,,,,
開盤,,,,,,
預估,,,,,,
加密,,,,,,
隱含,,,,,,
取消,,,,,,
有效,,,,,,
降低,,,,,,
操作,,,,,,
集中,,,,,,
遞比,,,,,,
申請,,,,,,
監管,,,,,,
清除,,,,,,
加碼,,,,,,
如此,,,,,,
有,,,,,,
見,,,,,,
見到,,,,,,
非,,,,,,
波動,,,,,,
刺激,,,,,,
收漲,,,,,,
增持,,,,,,
利用,,,,,,
資深,,,,,,
祭出,,,,,,
偏空,,,,,,
做多,,,,,,
下挫,,,,,,
走低,,,,,,
留意,,,,,,
小,,,,,,
回補,,,,,,
想,,,,,,
必要,,,,,,
大跌,,,,,,
有助於,,,,,,
有助,,,,,,
提振,,,,,,
衝擊,,,,,,
扮演,,,,,,
現貨化,,,,,,
開展,,,,,,
橫跨,,,,,,
促使,,,,,,
回到,,,,,,
追高,,,,,,
運用,,,,,,
證,,,,,,
便利,,,,,,
使用,,,,,,
走高,,,,,,
飆升,,,,,,
導致,,,,,,
觸及,,,,,,
有望,,,,,,
抓回,,,,,,
縮限,,,,,,
漲,,,,,,
收,,,,,,
收復,,,,,,
測試,,,,,,
現代,,,,,,
進入,,,,,,
收低,,,,,,
交所,,,,,,
呈現,,,,,,
增加,,,,,,
基金化,,,,,,
連續,,,,,,
減少,,,,,,
跌破,,,,,,
升水,,,,,,
轉為,,,,,,
開始,,,,,,
產生,,,,,,
減緩,,,,,,
明顯,,,,,,
活躍,,,,,,
具有,,,,,,
選擇,,,,,,
正逆,,,,,,
貶,,,,,,
啼笑皆非,,,,,,
換算,,,,,,
激烈,,,,,,
逆,,,,,,
下降,,,,,,
買,,,,,,
休市,,,,,,
原始,,,,,,
指出,,,,,,
強調,,,,,,
賺,,,,,,
買進,,,,,,
挑選,,,,,,
適用,,,,,,
納入,,,,,,
健全,,,,,,
推動,,,,,,
決議,,,,,,
跌至,,,,,,
重挫,,,,,,
走弱,,,,,,
屬,,,,,,
所有,,,,,,
給予,,,,,,
止跌,,,,,,
推出,,,,,,
相對,,,,,,
奪下,,,,,,
恆指,,,,,,
收報,,,,,,
考慮到,,,,,,
新增,,,,,,
電,,,,,,
活絡,,,,,,
計有,,,,,,
激勵,,,,,,
累積,,,,,,
參加,,,,,,
首重,,,,,,
升,,,,,,
不振,,,,,,
攀升到,,,,,,
震盪,,,,,,
吐回,,,,,,
紮實,,,,,,
進場,,,,,,
賣出,,,,,,
自動,,,,,,
支撐,,,,,,
投機,,,,,,
賺錢,,,,,,
透露,,,,,,
建置,,,,,,
高開,,,,,,
跟進,,,,,,
重現,,,,,,
交割,,,,,,
配合,,,,,,
衝高,,,,,,
合法,,,,,,
言,,,,,,
想要,,,,,,
說,,,,,,
俗稱,,,,,,
代操,,,,,,
經營,,,,,,
靈活,,,,,,
多空,,,,,,
正式,,,,,,
啟動,,,,,,
存在,,,,,,
反之亦然,,,,,,
建議,,,,,,
查詢,,,,,,
收升,,,,,,
操盤,,,,,,
快速,,,,,,
大漲,,,,,,
稱,,,,,,
誘空,,,,,,
求現,,,,,,
失望,,,,,,
疲軟,,,,,,
作收,,,,,,
成功,,,,,,
追蹤,,,,,,
適合,,,,,,
採用,,,,,,
需要,,,,,,
方正,,,,,,
發佈,,,,,,
出席,,,,,,
希望,,,,,,
充分,,,,,,
相較,,,,,,
創,,,,,,
估計,,,,,,
可能,,,,,,
下市,,,,,,
無,,,,,,
避,,,,,,
累計,,,,,,
